Province_State,Country_Region,Latitude,Longitude
Colorado,US,40.48596505,-106.9905548
Colorado,US,39.68864463,-105.6463118
Colorado,US,38.74745778,-106.19265729999998
Colorado,US,39.28656773,-104.13587209999999
Colorado,US,39.01787888,-108.469799
Colorado,US,40.10603347,-106.11780420000001
Colorado,US,40.262798100000005,-103.8093302
Colorado,US,38.32608609,-103.7844965
Colorado,US,39.95998787,-105.0566324
Colorado,US,39.120926000000004,-105.7182065
Colorado,US,40.00346839,-102.4258673
Colorado,US,0.0,0.0
Colorado,US,37.82247444,-107.3004345
Colorado,US,38.40214114,-108.26390220000002
Colorado,US,38.00450883,-108.4020725
Pennsylvania,US,40.21053671,-75.36652296
Pennsylvania,US,40.00338507,-75.1379271
Pennsylvania,US,39.91680171,-75.40243663
Pennsylvania,US,40.46809875,-79.98167747
Pennsylvania,US,40.33682119,-75.10836643
Pennsylvania,US,41.05934058,-75.34031025
Pennsylvania,US,39.97291773,-75.74768357
Pennsylvania,US,40.75182733,-75.30471829
Pennsylvania,US,40.6154815,-75.59435245
Pennsylvania,US,40.41570541,-75.92457766
Pennsylvania,US,40.1625372,-77.26130755
Pennsylvania,US,39.9210089,-76.73040131
Pennsylvania,US,40.19208869,-80.24582867
Pennsylvania,US,41.17823008,-75.98447579
Pennsylvania,US,40.03904563,-76.24770128
Pennsylvania,US,41.43564672,-75.60379201
Pennsylvania,US,39.87140411,-77.21610347
Pennsylvania,US,40.31377979999999,-79.46615476
Pennsylvania,US,41.33155042,-75.03208106
Pennsylvania,US,40.6825484,-80.34921611
Pennsylvania,US,40.36680311,-76.45651841
Pennsylvania,US,41.64938475,-75.29956506
Pennsylvania,US,41.99253829,-80.03301954
Pennsylvania,US,39.92956518,-77.72157791
Pennsylvania,US,40.92058903,-77.82200624
Pennsylvania,US,41.74471626,-77.89559864
Pennsylvania,US,40.91152759,-79.91351055
Pennsylvania,US,40.41377078,-76.77993242
Pennsylvania,US,41.03023987,-76.66345939
Pennsylvania,US,41.04821986,-76.40565017
Pennsylvania,US,39.92041012,-79.64291195
Pennsylvania,US,40.70497338,-76.2150785
Pennsylvania,US,41.30248872,-80.25816981
Tennessee,US,36.17007426,-86.78646056
Tennessee,US,,
Tennessee,US,35.1864775,-89.89692423
Tennessee,US,35.89099229,-86.89281867
Tennessee,US,,
Tennessee,US,36.46824103,-86.45917204
Tennessee,US,35.17670231,-85.16652245
Tennessee,US,35.84591405,-86.4107263
Tennessee,US,36.14005459,-85.50646123
Tennessee,US,35.99508821,-83.94635435
Tennessee,US,35.501942,-89.73694895
Tennessee,US,36.26136216,-87.08903581
Tennessee,US,36.14669837,-87.35891709
Tennessee,US,36.52454807,-86.87346725
Tennessee,US,35.19615831,-89.41399032
Tennessee,US,36.49609412,-87.38550661
Tennessee,US,35.44550387,-84.24902965
Tennessee,US,36.04818632,-83.45148924
Tennessee,US,36.40355516,-84.15108559999999
Tennessee,US,35.95271721,-84.99840585
Tennessee,US,36.05931946,-89.41542855
Tennessee,US,36.15496772,-86.29775884
Tennessee,US,35.97366108,-88.45189331
Tennessee,US,36.29472368,-82.49454720000001
Tennessee,US,36.17470125,-82.84691273
Tennessee,US,35.15739424,-84.857186
Tennessee,US,36.21990035,-83.26586179
Tennessee,US,35.618741299999996,-87.07462444
Tennessee,US,36.42325673,-84.50360494
Tennessee,US,36.51240691,-82.30412917
Tennessee,US,35.78077323,-83.52244332
Tennessee,US,36.12684348,-84.19965764
Tennessee,US,35.68938198,-83.92847788
Tennessee,US,35.99438059,-88.93358327
Tennessee,US,35.42812616,-84.61520715
