Country_Region,Confirmed,Deaths,Last_Update,Latitude,Longitude,Province_State,Recovered
China,632.0,0.0,2020-02-02T18:03:05,23.379,113.7633,Guangdong,15.0
China,493.0,2.0,2020-02-02T18:03:05,34.2904,113.3824,Henan,10.0
China,463.0,0.0,2020-02-02T18:03:05,27.6253,111.8569,Hunan,16.0
China,340.0,0.0,2020-02-02T18:03:05,30.6007,117.9249,Anhui,7.0
China,333.0,0.0,2020-02-02T18:03:05,27.0875,114.9042,Jiangxi,12.0
China,300.0,2.0,2020-02-02T23:33:02,29.4316,106.9123,Chongqing,7.0
China,236.0,0.0,2020-02-02T18:03:05,33.1402,119.7889,Jiangsu,7.0
China,231.0,1.0,2020-02-02T18:03:05,30.2638,102.8055,Sichuan,11.0
China,230.0,0.0,2020-02-02T18:03:05,,,Shandong,6.0
China,191.0,1.0,2020-02-02T08:43:02,40.2374,116.2305,Beijing,9.0
China,182.0,1.0,2020-02-02T05:53:02,31.2192,121.4456,Shanghai,10.0
China,159.0,0.0,2020-02-02T03:43:01,26.4837,117.9249,Fujian,0.0
